place,days,open,close,after_arrival,note
Hawaii Farming,Sun-Sat,06:00,19:00,,Nobody is here to load a truck outside these hours.
Kona airport,Sun-Fri,06:00,17:00,,Aloha Air Cargo counter. Six days — dark Saturday.
Kawaihae,Mon-Fri,07:00,16:00,,Young Brothers. Cargo acceptance ahead of the sailing.
Honolulu,Mon-Sat,07:00,15:00,24,Young Brothers. Available the next business day after arrival.
Kahului,Mon-Sat,07:00,15:00,24,Young Brothers. Available the next business day after arrival.
HFA Honolulu,Mon-Fri,06:00,15:00,,"Collects, then runs the route."
HFA Kahului,Mon-Fri,06:00,15:00,,"Collects, then runs the route."
Costco Kona,Mon-Sat,04:00,11:00,,Receiving. The only gate on-island.
Off-island customer,Mon-Sat,05:00,12:00,,The back door at the other end.
