route,departs,arrives,connects,note
Kawaihae to Honolulu,Tue 18:00,Wed 06:00,,
Kawaihae to Honolulu,Fri 18:00,Sat 06:00,,
Honolulu to Kahului,Wed 16:00,Thu 06:00,the Tuesday sailing,Maui is level with Oahu off this one.
Honolulu to Kahului,Mon 16:00,Tue 06:00,the Friday sailing,Maui falls a day behind Oahu off this one.
Honolulu to Nawiliwili,Mon,Tue,the Friday sailing,"Kauai. Accepted in Honolulu Mon, Wed & Thu until 11am; available at Nawiliwili the next business day after arrival."
Honolulu to Nawiliwili,Thu,Fri,the Tuesday sailing,"Kauai. A Wednesday Honolulu arrival is not available until Thursday, so it makes this boat with hours to spare and lands Friday — level with Oahu."
